user_id,place_id,rating
106116,P042,0
108436,P035,1
107404,P041,0
106214,P043,3
102376,P035,3
100072,P040,4
107871,P036,3
104443,P040,3
101250,P033,1
104617,P041,0
103364,P042,4
103808,P041,4
101099,P037,2
105187,P038,4
107977,P036,2
104311,P038,5
108516,P037,3
100746,P032,0
108202,P043,0
102892,P036,3
109708,P040,0
103092,P043,4
104171,P036,2
103872,P035,1
104046,P037,3
104721,P038,2
109511,P042,1
101450,P034,0
104377,P036,4
104931,P034,5
108370,P043,1
106356,P035,2
106062,P042,1
103524,P032,5
109497,P042,5
103049,P035,5
109386,P041,0
109868,P032,1
105585,P032,0
101675,P035,3
104587,P039,2
102027,P041,2
103498,P036,5
103161,P037,3
106767,P041,1
102327,P037,2
102086,P035,2
109807,P038,5
103129,P032,2
102250,P036,1
109071,P037,3
102391,P039,5
108781,P036,3
109632,P032,2
108615,P032,1
102321,P043,3
108665,P035,3
104563,P042,0
109762,P036,4
101996,P040,4
107431,P040,2
107744,P042,2
105165,P035,2
105328,P033,3
106356,P033,3
103779,P040,0
101385,P033,1
105244,P037,0
104547,P037,3
105498,P038,4
102703,P037,3
107927,P034,0
109030,P036,1
103363,P040,2
106848,P043,0
106386,P039,0
107037,P043,0
105068,P038,5
108840,P037,5
106803,P038,1
104775,P032,1
108608,P036,0
104609,P033,4
102122,P043,3
108123,P034,1
104688,P041,2
108277,P043,3
106958,P034,0
105292,P041,3
105767,P032,0
108116,P043,3
105250,P041,3
101881,P043,1
105749,P033,2
103299,P041,4
104642,P039,0
103103,P039,1
109408,P033,2
102570,P039,4
105007,P038,1
106465,P042,0
104564,P032,1
105910,P038,5
107634,P042,4
103636,P042,5
102198,P034,0
103881,P042,3
103553,P040,1
106113,P041,4
104746,P035,5
109943,P033,5
106152,P033,0
104894,P035,5
105320,P042,1
103730,P042,2
109760,P037,5
103778,P036,2
104416,P042,3
100116,P036,3
109553,P042,3
106727,P033,5
100901,P040,0
105324,P043,0
106532,P037,1
103580,P042,1
103814,P040,4
105271,P033,2
104401,P043,2
108861,P040,4
105541,P032,2
107132,P043,0
108021,P043,0
106188,P038,1
102770,P034,1
100917,P043,5
100594,P036,2
102077,P033,0
106736,P035,2
105092,P041,4
105767,P039,3
109042,P038,0
103966,P032,1
101419,P036,4
108252,P033,4
100268,P040,0
101156,P042,2
108662,P037,3
105619,P041,1
101035,P035,0
101996,P042,5
105468,P036,0
106931,P032,0
109746,P038,5
108810,P043,4
100113,P043,4
108074,P042,2
107617,P032,2
108757,P043,5
108300,P040,0
104539,P036,3
100153,P040,2
104120,P039,3
109195,P037,3
107573,P039,3
106843,P034,2
103159,P038,0
102457,P035,5
109879,P042,5
100627,P042,2
100338,P038,3
107643,P039,1
100238,P036,4
101804,P043,3
107938,P043,3
100303,P032,0
100960,P039,2
100574,P032,1
108880,P034,5
104777,P032,0
107966,P042,5
101370,P040,4
106239,P041,3
103030,P037,1
107068,P039,5
101796,P038,4
107353,P042,3
101002,P033,0
102020,P035,1
103248,P032,5
106975,P043,5
107596,P034,5
102714,P039,0
101838,P034,2
104923,P043,1
107751,P033,2
100683,P032,0
103450,P043,0
102162,P032,1
107753,P038,2
101349,P040,0
107014,P041,2
102323,P037,3
104702,P041,4
106395,P043,2
101533,P035,0
100510,P037,4
109521,P036,2
106087,P033,5
100242,P033,3
108524,P032,3
102723,P035,1
108724,P035,0
100531,P041,3
102454,P034,5
104880,P032,3
108848,P038,0
108105,P032,2
108233,P036,0
102208,P041,1
106884,P038,5
109515,P032,2
105561,P035,1
101521,P036,0
101637,P033,1
101178,P033,1
108568,P036,2
101702,P034,5
104728,P041,2
102271,P038,2
100452,P033,1
107928,P032,1
104115,P037,1
103214,P037,4
107394,P042,5
105632,P034,0
101433,P033,3
100272,P034,3
106761,P037,3
104323,P040,3
105690,P037,4
109475,P039,5
101072,P039,1
108546,P038,2
101240,P036,3
108707,P034,2
105724,P037,1
104365,P034,4
107688,P041,5
100833,P033,1
106045,P039,0
100966,P035,1
104530,P043,0
109494,P043,0
109070,P035,1
100479,P036,1
100921,P037,1
103483,P042,4
100908,P040,1
103043,P042,1
103916,P035,5
107919,P035,1
100710,P034,0
101743,P032,5
108016,P035,2
103020,P033,0
103706,P038,2
106096,P038,2
107480,P033,3
106511,P041,1
107950,P040,3
105686,P038,3
101564,P033,1
102628,P036,2
104206,P036,1
109313,P038,5
108774,P037,5
101227,P033,3
103185,P040,5
109199,P041,2
101705,P037,2
106289,P043,4
106503,P037,2
101296,P041,4
107742,P035,3
108536,P035,4
101450,P035,3
103373,P041,2
101775,P032,2
102299,P040,2
107617,P039,1
101163,P036,3
108775,P036,5
100197,P035,4
101312,P043,3
103952,P039,0
102527,P037,3
106301,P034,0
107756,P040,0
106025,P033,2
107122,P040,5
105994,P035,3
108754,P032,5
103298,P032,3
109230,P036,0
107331,P041,2
109909,P038,0
107292,P042,3
106351,P043,3
107512,P038,3
103897,P033,5
105401,P040,2
107093,P037,3
104140,P041,1
109064,P035,5
104437,P035,3
100004,P038,3
103640,P043,0
108612,P040,1
108639,P038,5
108624,P043,0
106471,P032,1
100573,P043,3
100366,P034,4
101693,P037,1
108651,P040,1
102278,P043,3
107760,P033,3
105630,P033,4
102477,P036,4
101607,P036,2
109351,P035,0
105448,P037,3
108948,P036,2
105848,P043,1
101732,P035,0
107131,P033,3
100753,P035,0
106704,P032,1
108309,P037,5
105711,P038,5
102115,P039,0
108759,P042,2
103790,P042,0
100327,P037,4
109276,P037,4
109530,P036,2
107006,P037,2
100637,P039,0
103564,P037,3
103290,P034,3
103642,P042,0
109382,P036,0
105868,P039,2
108263,P040,4
105602,P035,0
104942,P038,0
101059,P042,5
107346,P042,1
105880,P037,4
108616,P037,4
104872,P033,3
107598,P034,3
100306,P039,0
103982,P035,3
106872,P041,4
104297,P040,3
102456,P032,2
109398,P038,0
101034,P037,3
108952,P032,5
104299,P036,0
106053,P035,1
105280,P040,2
106088,P039,0
102689,P042,3
105899,P041,4
103680,P036,3
104993,P042,2
101210,P037,5
105233,P040,3
105674,P038,1
103234,P039,4
104882,P035,5
102003,P035,4
103267,P042,2
108354,P043,2
105863,P035,2
100635,P036,2
109721,P038,5
101118,P042,5
106182,P042,0
106878,P043,4
106235,P037,0
108966,P032,4
108142,P038,3
100703,P034,2
109017,P037,1
103135,P037,3
104863,P035,0
101026,P033,3
109339,P036,5
104798,P034,0
104798,P040,2
104715,P037,1
105088,P041,1
106130,P038,3
108451,P037,1
103826,P040,3
105597,P033,2
104827,P038,4
100322,P038,2
102691,P037,4
102766,P038,5
103823,P042,0
103196,P040,0
102008,P033,0
102712,P036,2
100352,P043,5
106663,P035,1
103941,P039,3
100948,P042,3
105514,P043,3
108101,P035,0
108836,P043,0
104219,P042,0
100483,P032,2
104577,P039,5
107107,P041,2
109991,P043,0
104077,P033,1
100794,P037,1
108212,P038,2
107307,P042,3
109478,P037,3
103432,P032,4
104070,P036,0
108254,P033,5
106603,P037,4
101090,P043,2
108572,P043,2
102690,P038,4
105319,P034,2
105838,P042,0
106900,P036,5
109048,P033,2
105871,P032,2
105015,P041,4
103551,P040,5
100899,P037,0
102239,P035,5
104965,P035,4
106318,P039,3
102603,P040,2
103950,P037,0
108887,P040,0
102394,P034,4
105342,P032,5
104230,P037,0
107425,P040,1
107279,P035,3
101084,P035,4
109967,P039,1
105124,P040,4
101533,P041,1
105367,P042,4
106085,P035,0
100187,P039,0
105899,P040,3
107529,P042,1
100766,P035,0
107912,P035,4
102833,P043,3
109188,P036,2
102197,P042,3
101706,P036,0
103792,P034,1
108922,P042,3
107938,P036,2
104218,P033,5
109745,P043,5
109107,P036,1
107318,P041,1
109602,P038,5
108802,P040,1
107241,P036,4
103262,P033,5
102665,P042,5
109547,P037,1
108484,P036,1
105044,P032,5
109443,P034,0
100264,P034,4
106313,P034,0
102002,P035,5
105678,P039,5
106670,P043,1
105413,P036,3
109023,P043,5
108746,P039,0
100432,P034,5
101404,P038,4
106587,P036,1
106209,P034,2
110000,P038,2
102153,P033,5
105891,P033,1
109688,P033,5
102426,P039,4
109625,P035,3
106841,P040,4
102468,P040,4
107212,P040,1
107618,P033,4
109293,P042,1
103360,P033,5
104191,P039,0
103870,P034,2
105000,P034,3
100070,P036,5
104740,P033,1
109034,P037,0
100786,P035,1
100002,P041,4
102326,P032,0
109699,P042,1
108500,P041,2
103116,P034,1
100791,P041,2
104236,P039,5
102391,P036,4
103653,P033,1
101576,P038,0
107256,P032,3
103980,P032,0
108748,P033,2
105137,P039,4
101842,P037,1
109731,P035,1
109272,P039,5
103318,P042,2
101414,P040,1
105756,P038,1
108582,P034,1
109040,P041,2
100568,P040,1
105751,P039,0
103451,P035,2
104166,P039,2
105153,P041,0
109207,P042,0
105982,P039,4
102030,P040,4
100249,P039,2
108853,P035,0
104683,P040,0
109389,P036,0
109191,P043,1
100510,P038,2
102974,P042,0
103496,P035,3
106050,P040,2
108967,P038,3
102137,P041,3
108882,P034,1
105258,P043,2
105055,P037,2
108174,P034,0
100420,P037,4
102290,P043,1
108790,P032,0
102589,P039,0
107516,P032,1
103725,P035,1
102474,P039,5
107056,P040,5
105432,P036,2
104641,P034,3
106620,P040,1
104320,P033,4
102902,P037,4
104961,P032,3
109284,P038,1
107824,P034,4
100763,P037,0
109843,P043,3
103749,P042,1
103451,P035,2
109538,P041,3
109867,P042,3
101064,P032,2
109378,P033,3
104596,P042,5
107703,P035,1
107466,P032,2
100498,P033,5
105132,P043,5
100774,P032,2
101963,P033,3
102505,P038,3
103620,P041,3
106256,P032,4
105470,P033,5
103134,P033,3
107367,P039,1
105370,P032,1
101589,P032,3
107273,P041,3
105864,P034,3
106029,P032,1
107469,P037,5
100042,P041,5
102751,P032,2
109752,P038,2
106208,P041,0
107971,P042,4
101936,P043,2
109162,P040,4
104447,P040,0
105209,P042,0
102203,P033,5
109389,P041,4
104891,P035,0
103607,P033,2
109999,P037,0
104885,P037,5
103567,P040,1
106604,P043,1
101736,P039,5
103942,P037,0
105833,P038,1
102702,P043,1
101775,P042,0
105903,P037,5
106545,P036,3
101343,P033,5
102723,P034,4
108046,P041,2
106204,P033,2
108417,P040,1
106452,P039,0
106883,P039,0
106221,P036,1
108537,P042,1
108491,P032,0
109254,P033,4
100114,P041,1
109104,P036,3
104067,P034,3
107701,P038,2
109214,P034,1
103859,P034,5
103726,P035,3
100977,P037,0
103889,P034,2
106326,P042,5
106743,P041,1
108568,P036,3
107685,P033,3
104475,P032,4
101605,P039,0
105238,P039,5
108449,P039,3
104740,P038,3
100639,P040,2
100619,P038,0
109133,P043,3
103666,P038,4
104655,P043,4
107596,P037,5
105351,P036,2
105595,P038,4
100862,P040,4
107418,P037,3
103838,P033,0
105818,P032,2
107878,P032,3
108549,P042,5
105940,P035,5
108620,P037,5
103763,P039,0
107542,P042,1
106502,P032,0
101778,P033,4
106523,P040,0
100644,P043,0
109700,P043,2
106098,P038,2
107043,P037,2
102820,P038,4
103429,P035,4
108670,P042,3
107996,P034,4
101073,P036,5
109423,P033,5
109068,P038,4
104361,P039,0
104635,P035,2
104889,P039,4
103391,P033,1
102400,P041,5
102960,P043,4
108380,P033,5
101708,P041,3
107331,P036,0
104117,P042,4
102610,P039,2
101140,P042,5
108481,P033,5
107275,P032,1
105376,P033,3
107012,P040,4
109342,P032,1
104971,P033,4
104710,P033,5
103628,P039,4
106557,P043,4
107424,P041,0
108695,P032,1
103739,P036,0
100482,P032,5
102726,P037,4
106384,P037,1
109327,P036,0
109230,P032,4
102632,P033,1
106536,P042,1
100049,P036,3
108091,P041,3
101699,P036,4
105109,P038,2
109525,P041,5
101107,P035,1
106241,P032,0
101374,P041,1
100280,P038,4
103902,P039,2
104209,P034,5
106633,P042,4
108713,P036,1
104974,P033,4
109355,P036,2
107755,P037,3
109179,P042,4
105298,P037,5
107528,P040,2
100365,P033,5
100761,P040,3
100095,P041,3
108521,P039,1
103618,P036,3
103582,P042,2
100654,P037,5
107229,P035,1
105091,P037,5
109828,P040,0
102831,P034,0
101863,P032,3
103550,P037,0
104002,P037,1
106113,P041,1
101852,P041,3
105667,P042,5
103076,P041,1
108307,P036,0
108566,P032,1
104345,P039,0
107746,P042,3
104281,P041,0
109079,P033,5
103495,P033,5
103198,P035,0
105271,P036,1
109178,P039,0
108774,P038,5
102921,P036,1
105592,P041,0
109739,P034,2
101249,P041,2
106108,P040,5
105223,P032,2
109789,P043,5
109614,P041,0
106439,P039,4
108054,P038,2
103157,P038,0
107450,P036,3
106919,P036,5
108531,P039,4
104381,P036,3
103732,P033,0
107722,P032,3
108313,P039,5
108466,P036,0
103641,P032,4
100347,P040,5
109911,P042,2
101667,P039,2
107622,P042,2
105149,P033,0
101801,P043,4
103644,P043,3
109645,P041,4
106326,P037,4
105887,P032,4
107974,P032,2
102574,P043,3
106070,P035,4
109425,P041,0
108755,P042,4
106180,P032,1
101358,P040,3
103652,P036,5
100730,P036,1
102569,P033,0
108779,P037,3
104777,P038,0
109856,P039,2
106904,P037,3
104366,P032,1
106616,P038,4
100854,P043,0
108087,P041,5
109487,P043,0
100422,P042,5
100214,P032,0
104573,P042,0
107335,P033,3
105897,P034,5
104693,P040,2
103077,P032,3
105542,P040,5
104083,P040,4
104011,P040,4
106072,P034,1
105118,P036,1
104828,P037,2
108319,P039,3
100059,P035,1
104633,P035,4
106649,P034,5
101920,P036,1
106261,P035,5
108973,P041,3
103191,P042,2
105273,P032,2
107864,P043,2
103606,P038,3
102345,P039,0
106713,P039,2
109700,P035,3
107551,P041,5
106666,P041,0
102098,P037,4
102431,P035,3
100404,P038,5
106489,P038,2
102097,P033,1
109880,P038,4
102492,P032,4
108079,P036,0
102892,P037,2
108709,P036,4
105659,P039,3
109787,P043,3
105783,P042,1
100466,P039,1
106724,P038,1
105889,P035,3
108245,P035,3
101268,P038,4
108784,P038,3
100440,P034,3
100769,P034,0
109499,P036,2
107449,P034,1
